XML,JAVA
def://GSYVideoPlayer/app/src/main/res/layout/layout_custom_dialog.xml//LinearLayout/LinearLayout/CheckBox/android:id//@+id\/dialog_input_check,use://GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/view/CustomInputDialog.java//R.id.dialog_input_check
def://GSYVideoPlayer/app/src/main/res/layout/layout_custom_dialog.xml//LinearLayout/LinearLayout/TextView/android:id//@+id\/dialog_input_dialog_negative,use://GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/view/CustomInputDialog.java//R.id.dialog_input_dialog_negative
def://GSYVideoPlayer/app/src/main/res/layout/layout_custom_dialog.xml//LinearLayout/LinearLayout/TextView/android:id//@+id\/dialog_input_dialog_postive,use://GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/view/CustomInputDialog.java//R.id.dialog_input_dialog_postive
def://GSYVideoPlayer/app/src/main/res/layout/layout_custom_dialog.xml//LinearLayout/LinearLayout/TextView/android:id//@+id\/dialog_input_dialog_postive,use://GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/view/CustomInputDialog.java//R.id.dialog_input_dialog_postive
def://GSYVideoPlayer/app/src/main/res/layout/switch_activity_detail_player.xml//RelativeLayout/com.example.gsyvideoplayer.switchplay.SwitchVideo/android:id//@+id\/detail_player,use://GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/switchplay/SwitchDetailActivity.java//R.id.detail_player
def://GSYVideoPlayer/app/src/main/res/layout/video_layout_cover.xml//RelativeLayout/FrameLayout/android:id//@+id\/surface_container,use://GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoView.java//R.id.surface_container
def://GSYVideoPlayer/app/src/main/res/layout/video_layout_cover.xml//RelativeLayout/FrameLayout/android:id//@+id\/surface_container,use://GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java//R.id.surface_container
def://GSYVideoPlayer/app/src/main/res/layout/video_layout_cover.xml//RelativeLayout/FrameLayout/android:id//@+id\/surface_container,use://GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java//R.id.surface_container
def://GSYVideoPlayer/app/src/main/res/layout/video_layout_cover.xml//RelativeLayout/RelativeLayout/android:id//@+id\/thumb,use://GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java//R.id.thumb
def://GSYVideoPlayer/app/src/main/res/layout/video_layout_cover.xml//RelativeLayout/RelativeLayout/android:id//@+id\/thumb,use://GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java//R.id.thumb
