def,use
def://app/src/main/res/layout/video_layout_subtitle.xml[language=FILE]//RelativeLayout/LinearLayout/ImageView/android:id[language=XML]//@+id\\/back[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.back[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//ScrollView/LinearLayout/Button/android:id[language=XML]//@+id\\/open_btn[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/MainActivity.java[language=FILE]//MainActivity/onClick/R.id.open_btn[language=JAVA]
def://app/src/main/res/layout/activity_deatil_list_player.xml[language=FILE]//RelativeLayout/com.shuyu.gsyvideoplayer.video.ListGSYVideoPlayer/android:id[language=XML]//@+id\\/detail_player[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/DetailListPlayer.java[language=FILE]//DetailListPlayer/resolveNormalVideoUI/binding.detailPlayer[language=JAVA]
def://app/src/main/res/layout/sample_control_video.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/total[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.total[language=JAVA]
def://app/src/main/res/layout/activity_play_pick.xml[language=FILE]//RelativeLayout/com.example.gsyvideoplayer.video.SmartPickVideo/android:id[language=XML]//@+id\\/video_player[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/PlayPickActivity.java[language=FILE]//PlayPickActivity/init/OrientationUtils/binding.videoPlayer[language=JAVA]
def://app/src/main/res/layout/list_video_simple_mode2.xml[language=FILE],use://app/src/main/java/com/example/gsyvideoplayer/simple/adapter/SimpleListVideoMode2Adapter.java[language=FILE]//SimpleListVideoMode2Adapter/getView/inflater.inflate/R.layout.list_video_simple_mode2[language=JAVA]
def://app/src/main/res/layout/sample_video_land.xml[language=FILE]//RelativeLayout/RelativeLayout/android:id[language=XML]//@+id\\/thumb[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/onClick/R.id.thumb[language=JAVA]
def://gsyVideoPlayer-java/src/main/res/layout/video_layout_normal.xml[language=FILE]//RelativeLayout/RelativeLayout/android:id[language=XML]//@+id\\/thumb[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/onClick/R.id.thumb[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//ScrollView/LinearLayout/Button/android:id[language=XML]//@+id\\/more_type[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/MainActivity.java[language=FILE]//MainActivity/onCreate/binding.moreType[language=JAVA]
def://gsyVideoPlayer-java/src/main/res/layout/video_layout_standard.xml[language=FILE]//RelativeLayout/moe.codeest.enviews.ENPlayView/android:id[language=XML]//@+id\\/start[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.start[language=JAVA]
