XML,JAVA
def://NewPipe/app/src/main/res/layout/fragment_playlist.xml//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_playlist.xml//RelativeLayout/ProgressBar/android:id//@+id\/loading_progress_bar,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.loading_progress_bar
def://NewPipe/app/src/main/res/layout/fragment_playlist.xml//RelativeLayout/LinearLayout/android:id//@+id\/empty_state_view,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.empty_state_view
def://NewPipe/app/src/main/res/layout/select_channel_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/select_channel_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/SelectChannelFragment.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/select_channel_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/SelectChannelFragment.java//R.id.itemTitleView
def://NewPipe/app/src/main/res/layout/fragment_kiosk.xml//RelativeLayout/org.schabi.newpipe.views.NewPipeRecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_kiosk.xml//RelativeLayout/org.schabi.newpipe.views.NewPipeRecyclerView/android:id//@+id\/items_list,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/list/BaseListFragment.java//R.id.items_list
def://NewPipe/app/src/main/res/layout/fragment_kiosk.xml//RelativeLayout/ProgressBar/android:id//@+id\/loading_progress_bar,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.loading_progress_bar
def://NewPipe/app/src/main/res/layout/fragment_kiosk.xml//RelativeLayout/LinearLayout/android:id//@+id\/empty_state_view,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java//R.id.empty_state_view
def://NewPipe/app/src/main/res/layout/toolbar_layout.xml//LinearLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar,use://NewPipe/app/src/main/java/us/shandian/giga/ui/common/ToolbarActivity.java//R.id.toolbar
