def,use
def://app/src/main/res/layout/player.xml[language=FILE]//RelativeLayout/RelativeLayout/LinearLayout/androidx.appcompat.widget.AppCompatImageButton/android:id[language=XML]//@+id\\/playPauseButton[language=ANY],use://app/src/main/java/com/google/android/material/appbar/FlingBehavior.java[language=FILE]//FlingBehavior/Arrays.asList/R.id.playPauseButton[language=JAVA]
def://app/src/main/res/layout/fragment_channel.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/error_content_not_supported[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/list/channel/ChannelFragment.java[language=FILE]//ChannelFragment/showContentNotSupported/channelBinding.errorContentNotSupported[language=JAVA]
def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/LinearLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/detail_controls_play_with_kodi[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/initViews/binding.detailControlsPlayWithKodi[language=JAVA]
def://app/src/main/res/layout-large-land/player.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/org.schabi.newpipe.views.FocusAwareSeekBar/android:id[language=XML]//@+id\\/playbackSeekBar[language=ANY],use://app/src/main/java/com/google/android/material/appbar/FlingBehavior.java[language=FILE]//FlingBehavior/Arrays.asList/R.id.playbackSeekBar[language=JAVA]
def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id[language=XML]//@+id\\/detail_description_view[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/DescriptionFragment.java[language=FILE]//DescriptionFragment/enableDescriptionSelection/binding.detailDescriptionView[language=JAVA]
def://app/src/main/res/layout/channel_header.xml[language=FILE]//RelativeLayout/RelativeLayout/androidx.appcompat.widget.AppCompatButton/android:id[language=XML]//@+id\\/channel_subscribe_button[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/list/channel/ChannelFragment.java[language=FILE]//ChannelFragment/updateSubscribeButton/animateTextColor/headerBinding.channelSubscribeButton[language=JAVA]
def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/LinearLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/detail_controls_download[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/initListeners/binding.detailControlsDownload[language=JAVA]
def://app/src/main/res/layout/select_kiosk_fragment.xml[language=FILE]//LinearLayout/androidx.recyclerview.widget.RecyclerView/android:id[language=XML]//@+id\\/items_list[language=ANY],use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java[language=FILE]//BaseLocalListFragment/initViews/rootView.findViewById/R.id.items_list[language=JAVA]
def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/org.schabi.newpipe.views.CustomCollapsingToolbarLayout/FrameLayout/ImageView/android:id[language=XML]//@+id\\/detail_thumbnail_image_view[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/setErrorImage/binding.detailThumbnailImageView[language=JAVA]
def://app/src/main/res/menu/mission.xml[language=FILE]//menu/item/android:id[language=XML]//@+id\\/retry[language=ANY],use://app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java[language=FILE]//MissionAdapter/ViewHolderItem/ViewHolderItem/menu.findItem/R.id.retry[language=JAVA]
def://app/src/main/res/layout-large-land/fragment_video_detail.xml[language=FILE]//FrameLayout/LinearLayout/org.schabi.newpipe.views.FocusAwareCoordinator/com.google.android.material.appbar.AppBarLayout/org.schabi.newpipe.views.CustomCollapsingToolbarLayout/FrameLayout/org.schabi.newpipe.views.AnimatedProgressBar/android:id[language=XML]//@+id\\/position_view[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/onPlaybackUpdate/animate/binding.positionView[language=JAVA]
def://app/src/main/res/layout/download_dialog.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/threads_count[language=ANY],use://app/src/main/java/org/schabi/newpipe/download/DownloadDialog.java[language=FILE]//DownloadDialog/onProgressChanged/dialogBinding.threadsCount[language=JAVA]
def://app/src/main/res/layout/list_stream_mini_item.xml[language=FILE]//RelativeLayout/TextView/android:id[language=XML]//@+id\\/itemUploaderView[language=ANY],use://app/src/main/java/org/schabi/newpipe/info_list/holder/StreamMiniInfoItemHolder.java[language=FILE]//StreamMiniInfoItemHolder/StreamMiniInfoItemHolder/itemView.findViewById/R.id.itemUploaderView[language=JAVA]
def://app/src/main/res/layout/fragment_channel.xml[language=FILE],use://app/src/main/java/org/schabi/newpipe/fragments/list/channel/ChannelFragment.java[language=FILE]//ChannelFragment/onCreateView/return/inflater.inflate/R.layout.fragment_channel[language=JAVA]
def://app/src/main/res/menu/menu_play_queue.xml[language=FILE]//menu/item/android:id[language=XML]//@+id\\/action_mute[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/PlayQueueActivity.java[language=FILE]//PlayQueueActivity/onOptionsItemSelected/R.id.action_mute[language=JAVA]
def://app/src/main/res/layout-land/activity_player_queue_control.xml[language=FILE]//RelativeLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id[language=XML]//@+id\\/toolbar[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/PlayQueueActivity.java[language=FILE]//PlayQueueActivity/onCreate/setSupportActionBar/queueControlBinding.toolbar[language=JAVA]
def://app/src/main/res/layout-large-land/player.xml[language=FILE]//RelativeLayout/Button/android:id[language=XML]//@+id\\/closeButton[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/getClosingRadius/closeOverlayBinding.closeButton[language=JAVA]
def://app/src/main/res/layout/player.xml[language=FILE]//RelativeLayout/org.schabi.newpipe.views.ExpandableSurfaceView/android:id[language=XML]//@+id\\/surfaceView[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/getSurfaceView/return/binding.surfaceView[language=JAVA]
def://app/src/main/res/layout/fragment_bookmarks.xml[language=FILE]//RelativeLayout/androidx.recyclerview.widget.RecyclerView/android:id[language=XML]//@+id\\/items_list[language=ANY],use://app/src/main/java/org/schabi/newpipe/local/BaseLocalListFragment.java[language=FILE]//BaseLocalListFragment/initViews/rootView.findViewById/R.id.items_list[language=JAVA]
def://app/src/main/res/layout-large-land/player.xml[language=FILE]//RelativeLayout/RelativeLayout/android:id[language=XML]//@+id\\/playbackControlRoot[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/event/CustomBottomSheetBehavior.java[language=FILE]//CustomBottomSheetBehavior/onInterceptTouchEvent/child.findViewById/R.id.playbackControlRoot[language=JAVA]
def://app/src/main/res/layout/activity_player_queue_control.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/current_time[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/PlayQueueActivity.java[language=FILE]//PlayQueueActivity/onProgressUpdate/queueControlBinding.currentTime[language=JAVA]
def://app/src/main/res/layout/player.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/LinearLayout/ImageView/android:id[language=XML]//@+id\\/currentSeekbarPreviewThumbnail[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/onProgressChanged/SeekbarPreviewThumbnailHelper.tryResizeAndSetSeekbarPreviewThumbnail/binding.currentSeekbarPreviewThumbnail[language=JAVA]
