def,use
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/pos[varType=String,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insertSelective]//Insert/#{pos\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Nav.java[language=FILE]//Nav/status[varType=Integer,language=JAVA]","use://src/main/resources/mapper/NavMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Nav,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{status\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/type[varType=String,language=JAVA]","use://target/classes/mapper/UserMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.User,language=XML,queryId=insert]//Insert/#{type\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/status[varType=Integer,language=JAVA]","use://src/main/resources/mapper/AdMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Ad,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{status\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Comment.java[language=FILE]//Comment/likeCount[varType=Long,language=JAVA]","use://src/main/resources/mapper/CommentMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Comment,language=XML,queryId=insertSelective]//Insert/#{likeCount\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/commentCount[varType=Integer,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{commentCount\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/url[varType=String,language=JAVA]","use://src/main/resources/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insert]//Insert/#{url\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/gmtModified[varType=Long,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKey]//Update/#{gmtModified\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/sticky[varType=Integer,language=JAVA]","use://src/main/resources/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{sticky\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Nav.java[language=FILE]//Nav/status[varType=Integer,language=JAVA]","use://src/main/resources/mapper/NavMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Nav,language=XML,queryId=updateByPrimaryKey]//Update/#{status\,jdbcType=INTEGER}[language=SQL]"
