def,use
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsAdmin.java[language=FILE]//UmsAdmin/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsAdminMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsAdmin,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsBrand.java[language=FILE]//PmsBrand/bigPic[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsBrandMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsBrand,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{bigPic\,jdbcType=VARCHAR}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsBrand.java[language=FILE]//PmsBrand/firstLetter[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsBrandMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsBrand,language=XML,queryId=updateByPrimaryKeyWithBLOBs]//Update/#{firstLetter\,jdbcType=VARCHAR}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsProductAttributeValue.java[language=FILE]//PmsProductAttributeValue/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsProductAttributeValueMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsProductAttributeValue,language=XML,queryId=updateByPrimaryKeySelective]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsProductCategory.java[language=FILE]//PmsProductCategory/parentId[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsProductCategoryMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsProductCategory,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{parentId\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsPermission.java[language=FILE]//UmsPermission/createTime[varType=Date,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsPermissionMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsPermission,language=XML,queryId=updateByPrimaryKey]//Update/#{createTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/mapper/SmsCouponHistoryMapper.java[language=FILE]//SmsCouponHistoryMapper/selectByPrimaryKey/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/SmsCouponHistoryMapper.xml[language=FILE]//mapper/select[parameterType=java.lang.Long,resultMap=BaseResultMap,language=XML,queryId=selectByPrimaryKey]//Select/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/mapper/UmsRoleMenuRelationMapper.java[language=FILE]//UmsRoleMenuRelationMapper/selectByPrimaryKey/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsRoleMenuRelationMapper.xml[language=FILE]//mapper/select[parameterType=java.lang.Long,resultMap=BaseResultMap,language=XML,queryId=selectByPrimaryKey]//Select/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsOrder.java[language=FILE]//OmsOrder/totalAmount[varType=BigDecimal,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsOrderMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsOrder,language=XML,queryId=updateByPrimaryKey]//Update/#{totalAmount\,jdbcType=DECIMAL}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsOrder.java[language=FILE]//OmsOrder/growth[varType=Integer,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsOrderMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsOrder,language=XML,queryId=updateByPrimaryKey]//Update/#{growth\,jdbcType=INTEGER}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsCartItem.java[language=FILE]//OmsCartItem/productPic[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsCartItemMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsCartItem,language=XML,queryId=updateByPrimaryKey]//Update/#{productPic\,jdbcType=VARCHAR}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsOrderOperateHistory.java[language=FILE]//OmsOrderOperateHistory/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsOrderOperateHistoryMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsOrderOperateHistory,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsOrderReturnApply.java[language=FILE]//OmsOrderReturnApply/memberUsername[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsOrderReturnApplyMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsOrderReturnApply,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{memberUsername\,jdbcType=VARCHAR}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsResourceCategory.java[language=FILE]//UmsResourceCategory/name[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsResourceCategoryMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsResourceCategory,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{name\,jdbcType=VARCHAR}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsOrderReturnApply.java[language=FILE]//OmsOrderReturnApply/receiveTime[varType=Date,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsOrderReturnApplyMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsOrderReturnApply,language=XML,queryId=updateByPrimaryKey]//Update/#{receiveTime\,jdbcType=TIMESTAMP}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsCartItem.java[language=FILE]//OmsCartItem/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsCartItemMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsCartItem,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsIntegrationConsumeSetting.java[language=FILE]//UmsIntegrationConsumeSetting/deductionPerAmount[varType=Integer,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsIntegrationConsumeSettingMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsIntegrationConsumeSetting,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{deductionPerAmount\,jdbcType=INTEGER}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/mapper/CmsTopicCategoryMapper.java[language=FILE]//CmsTopicCategoryMapper/deleteByPrimaryKey/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/CmsTopicCategoryMapper.xml[language=FILE]//mapper/delete[parameterType=java.lang.Long,language=XML,queryId=deleteByPrimaryKey]//Delete/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsAdmin.java[language=FILE]//UmsAdmin/status[varType=Integer,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsAdminMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsAdmin,language=XML,queryId=updateByPrimaryKey]//Update/#{status\,jdbcType=INTEGER}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/CmsTopic.java[language=FILE]//CmsTopic/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/CmsTopicMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.CmsTopic,language=XML,queryId=updateByPrimaryKeySelective]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsMemberReceiveAddress.java[language=FILE]//UmsMemberReceiveAddress/detailAddress[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsMemberReceiveAddressMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsMemberReceiveAddress,language=XML,queryId=updateByPrimaryKey]//Update/#{detailAddress\,jdbcType=VARCHAR}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsProductCategory.java[language=FILE]//PmsProductCategory/productUnit[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsProductCategoryMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsProductCategory,language=XML,queryId=updateByPrimaryKeyWithBLOBs]//Update/#{productUnit\,jdbcType=VARCHAR}[language=SQL]"
