JAVA,XML
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_stream_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_comments_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_playlist_grid_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_playlist_mini_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/select_kiosk_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_stream_mini_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/select_channel_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_comments_mini_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_channel_grid_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView,def://app/src/main/res/layout/list_playlist_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.closeButton,def://app/src/main/res/layout/player_popup_close_overlay.xml//FrameLayout/com.google.android.material.floatingactionbutton.FloatingActionButton/android:id//@+id\/closeButton
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.closeButton,def://app/src/main/res/layout/activity_main_player.xml//RelativeLayout/RelativeLayout/Button/android:id//@+id\/closeButton
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.closeButton,def://app/src/main/res/layout-large-land/activity_main_player.xml//RelativeLayout/RelativeLayout/Button/android:id//@+id\/closeButton
use://app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java//R.id.md5,def://app/src/main/res/menu/mission.xml//menu/item/menu/item/android:id//@+id\/md5
use://app/src/main/java/org/schabi/newpipe/player/PopupVideoPlayer.java//R.id.closingOverlay,def://app/src/main/res/layout/player_popup.xml//FrameLayout/View/android:id//@+id\/closingOverlay
use://app/src/main/java/org/schabi/newpipe/about/AboutActivity.java//R.id.toolbar,def://app/src/main/res/layout/toolbar_layout.xml//LinearLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar
use://app/src/main/java/org/schabi/newpipe/about/AboutActivity.java//R.id.toolbar,def://app/src/main/res/layout/activity_recaptcha.xml//RelativeLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar
use://app/src/main/java/org/schabi/newpipe/about/AboutActivity.java//R.id.toolbar,def://app/src/main/res/layout/activity_about.xml//androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar
