def,use
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/role/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsRoleController.java[language=FILE]//UpmsRoleController/index/return[language=JAVA]//\\/manage\\/role\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/category/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsCategoryController.java[language=FILE]//CmsCategoryController/create/return[language=JAVA]//\\/manage\\/category\\/create.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/comment/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsCommentController.java[language=FILE]//CmsCommentController/update/return[language=JAVA]//\\/manage\\/comment\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/system/create.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsSystemController.java[language=FILE]//UpmsSystemController/create/return[language=JAVA]//\\/manage\\/system\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/ManageController.java[language=FILE]//ManageController/index/return[language=JAVA]//\\/manage\\/index.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/role/create.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsRoleController.java[language=FILE]//UpmsRoleController/create/return[language=JAVA]//\\/manage\\/role\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/ManageController.java[language=FILE]//ManageController/index/modelMap.put[language=JAVA]//upmsSystems[language=ANY],use://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/index.jsp[language=FILE]//html/body/header/ul/li/ul/li/ul/c:foreach/items[language=HTML]//${upmsSystems}[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/ManageController.java[language=FILE]//ManageController/index/return[language=JAVA]//\\/manage\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/tag/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsTagController.java[language=FILE]//CmsTagController/update/return[language=JAVA]//\\/manage\\/tag\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/permission/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsPermissionController.java[language=FILE]//UpmsPermissionController/index/return[language=JAVA]//\\/manage\\/permission\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/page/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsPageController.java[language=FILE]//CmsPageController/create/return[language=JAVA]//\\/manage\\/page\\/create.jsp[language=ANY]
def://zheng-demo/zheng-demo-web/src/main/webapp/WEB-INF/jsp/index.jsp[language=FILE],def://zheng-demo/zheng-demo-web/src/main/java/com/zheng/demo/web/controller/IndexController.java[language=FILE]//IndexController/jsp/return/jsp[language=JAVA]//\\/index[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/page/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsPageController.java[language=FILE]//CmsPageController/update/return[language=JAVA]//\\/manage\\/page\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/ManageController.java[language=FILE]//ManageController/index/modelMap.put[language=JAVA]//upmsSystems[language=ANY],use://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/index.jsp[language=FILE]//html/body/section/aside/ul/c:foreach/c:if/li/ul/c:foreach/c:if/c:foreach/items[language=HTML]//${upmsSystems}[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/menu/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsMenuController.java[language=FILE]//CmsMenuController/index/return[language=JAVA]//\\/manage\\/menu\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/comment/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsCommentController.java[language=FILE]//CmsCommentController/create/return[language=JAVA]//\\/manage\\/comment\\/create.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/tag/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsTagController.java[language=FILE]//CmsTagController/index/return[language=JAVA]//\\/manage\\/tag\\/index.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/organization/update.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsOrganizationController.java[language=FILE]//UpmsOrganizationController/update/return[language=JAVA]//\\/manage\\/organization\\/update.jsp[language=ANY]
def://zheng-demo/zheng-demo-web/src/main/webapp/WEB-INF/jsp/index.jsp[language=FILE],def://zheng-demo/zheng-demo-web/src/main/java/com/zheng/demo/web/controller/IndexController.java[language=FILE]//IndexController/thymeleaf/return/thymeleaf[language=JAVA]//\\/index[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/topic/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsTopicController.java[language=FILE]//CmsTopicController/create/return[language=JAVA]//\\/manage\\/topic\\/create.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/article/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsArticleController.java[language=FILE]//CmsArticleController/index/return[language=JAVA]//\\/manage\\/article\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/setting/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsSettingController.java[language=FILE]//CmsSettingController/update/return[language=JAVA]//\\/manage\\/setting\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/system/update.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsSystemController.java[language=FILE]//UpmsSystemController/update/return[language=JAVA]//\\/manage\\/system\\/update.jsp[language=ANY]
