def,use
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/newPost/model.addAttribute[language=JAVA]//postForm[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE]//html/body/form/data-th-object[language=HTML]//${postForm}[language=ANY]
def://sagan-site/src/main/java/sagan/site/tools/support/SpringToolsAdminController.java[language=FILE]//SpringToolsAdminController/edit/model.addAttribute[language=JAVA]//platform[language=ANY],use://sagan-site/src/main/resources/templates/admin/tools/edit.html[language=FILE]//html/body/form/data-th-object[language=HTML]//${platform}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/showProject/model.addAttribute[language=JAVA]//topicals[language=ANY],use://sagan-site/src/main/resources/templates/projects/show.html[language=FILE]//html/body/div/div/div/article/div/div/div/div/div/ul/li/data-th-each[language=HTML]//${topicals}[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamController.java[language=FILE]//TeamController/showProfile/model.addAttribute[language=JAVA]//profile[language=ANY],use://sagan-site/src/main/resources/templates/team/show.html[language=FILE]//html/body/div/div/data-th-object[language=HTML]//${profile}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/dashboard/model.addAttribute[language=JAVA]//scheduled[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/index.html[language=FILE]//html/body/div/div/table/tbody/tr/data-th-each[language=HTML]//${scheduled}[language=ANY]
def://sagan-site/src/main/resources/templates/projects/show.html[language=FILE],def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/showProject/return[language=JAVA]//projects\\/show[language=ANY]
def://sagan-site/src/main/resources/templates/events/community.html[language=FILE],def://sagan-site/src/main/java/sagan/site/events/EventsController.java[language=FILE]//EventsController/community/return[language=JAVA]//events\\/community[language=ANY]
def://sagan-site/src/main/resources/templates/learn/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/learn/LearnController.java[language=FILE]//LearnController/learn/return[language=JAVA]//learn\\/index[language=ANY]
def://sagan-site/src/main/resources/templates/blog/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/renderListOfPosts/return[language=JAVA]//blog\\/index[language=ANY]
def://sagan-site/src/main/resources/templates/admin/project/edit-info.html[language=FILE],def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editInfo/return[language=JAVA]//admin\\/project\\/edit-info[language=ANY]
def://sagan-site/src/main/resources/templates/admin/blog/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/renderListOfPosts/return[language=JAVA]//blog\\/index[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/editPost/model.addAttribute[language=JAVA]//categories[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${categories}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/list/model.addAttribute[language=JAVA]//projects[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/index.html[language=FILE]//html/body/div/div/table/tbody/tr/data-th-each[language=HTML]//${projects}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/editPost/model.addAttribute[language=JAVA]//postForm[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/data-th-object[language=HTML]//${postForm}[language=ANY]
def://sagan-site/src/main/java/sagan/site/tools/support/SpringToolsAdminController.java[language=FILE]//SpringToolsAdminController/list/model.addAttribute[language=JAVA]//platforms[language=ANY],use://sagan-site/src/main/resources/templates/admin/tools/index.html[language=FILE]//html/body/div/table/tbody/tr/data-th-each[language=HTML]//${platforms}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editReleases/model.addAttribute[language=JAVA]//project[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/edit-releases.html[language=FILE]//html/body/div/form/data-th-object[language=HTML]//${project}[language=ANY]
def://sagan-site/src/main/resources/templates/blog/show.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/showPost/return[language=JAVA]//blog\\/show[language=ANY]
def://sagan-site/src/main/resources/templates/tools/list.html[language=FILE],def://sagan-site/src/main/java/sagan/site/tools/support/SpringToolsController.java[language=FILE]//SpringToolsController/listDownloads/return[language=JAVA]//tools\\/list[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/editTeamMemberForm/model.addAttribute[language=JAVA]//formAction[language=ANY],use://sagan-site/src/main/resources/templates/admin/team/edit.html[language=FILE]//html/body/form/data-th-action[language=HTML]//${formAction}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/updatePost/return[language=JAVA]//\\/admin\\/blog\\/edit[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/editProfileForm/model.addAttribute[language=JAVA]//formAction[language=ANY],use://sagan-site/src/main/resources/templates/admin/team/edit.html[language=FILE]//html/body/form/data-th-action[language=HTML]//${formAction}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/blog/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/dashboard/return[language=JAVA]//admin\\/blog\\/index[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/updatePost/model.addAttribute[language=JAVA]//path[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/div/div/div/a/data-th-href[language=HTML]//${path}[language=ANY]
