use,def
def://src/main/java/org/jeecgframework/web/system/controller/core/RoleController.java[]//userList/return/ModelAndView[]//system\/role\/roleUserList[],def://src/main/webapp/webpage/system/role/roleUserList.jsp[]
def://src/main/java/org/jeecgframework/web/superquery/controller/SuperQueryMainController.java[]//goAdd/return/ModelAndView[]//jeecg\/superquery\/superQueryMain-add[],def://src/main/webapp/webpage/jeecg/superquery/superQueryMain-add.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DepartAuthGroupController.java[]//addDepartRoleAuth/return/ModelAndView[]//system\/authGroup\/addDepartRoleAuth[],def://src/main/webapp/webpage/system/authGroup/addDepartRoleAuth.jsp[]
def://src/main/java/com/jeecg/demo/controller/JformOrderCustomer2Controller.java[]//list/return/ModelAndView[]//com\/jeecg\/demo\/jformOrderMain2\/jformOrderCustomer2\/list[],def://src/main/webapp/webpage/com/jeecg/demo/jformOrderMain2/jformOrderCustomer2/list.jsp[]
def://src/main/java/org/jeecgframework/web/cgform/controller/config/CgFormHeadController.java[]//popmenulink/return/ModelAndView[]//jeecg\/cgform\/config\/popmenulink[],def://src/main/webapp/webpage/jeecg/cgform/config/popmenulink.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/TSDictTableConfigController.java[]//goAdd/return/ModelAndView[]//system\/dicttable\/tSDictTableConfig-add[],def://src/main/webapp/webpage/system/dicttable/tSDictTableConfig-add.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/OrganzationController.java[]//comDepart/return/ModelAndView[]//system\/organzation\/comDepartList[],def://src/main/webapp/webpage/system/organzation/comDepartList.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/OrganzationController.java[]//goAddMyOrgUserToOrg/return/ModelAndView[]//system\/organzation\/noCurDepartMyOrgUserList[],def://src/main/webapp/webpage/system/organzation/noCurDepartMyOrgUserList.jsp[]
use://src/main/webapp/webpage/system/depart/departUserList.jsp[]//html/body/t:datagrid/t:dgtoolbar/url[]//${departid}[],def://src/main/java/org/jeecgframework/web/system/controller/core/DepartController.java[]//userList/request.setAttribute[]//departid[]
def://src/main/java/org/jeecgframework/web/system/controller/core/OrganzationController.java[]//orgSelect/return[]//system\/organzation\/orgSelect[],def://src/main/webapp/webpage/system/organzation/orgSelect.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//lineChart3/return/ModelAndView[]//com\/jeecg\/demo\/echartsDemo\/lineChart3[],def://src/main/webapp/webpage/com/jeecg/demo/echartsDemo/lineChart3.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/UserController.java[]//userSelect/return[]//system\/user\/userSelect[],def://src/main/webapp/webpage/system/user/userSelect.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//minidaoListDemo/return/ModelAndView[]//com\/jeecg\/demo\/taglist_minidao[],def://src/main/webapp/webpage/com/jeecg/demo/taglist_minidao.jsp[]
def://src/main/java/org/jeecgframework/web/cgform/controller/enhance/CgformEnhanceJsController.java[]//addorupdate/return/ModelAndView[]//jeecg\/cgform\/enhance\/cgformenhanceJs[],def://src/main/webapp/webpage/jeecg/cgform/enhance/cgformenhanceJs.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/RoleController.java[]//operationListForFunction/return/ModelAndView[]//system\/role\/operationListForFunction[],def://src/main/webapp/webpage/system/role/operationListForFunction.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/DepartAuthGroupController.java[]//departRoleAuthGroupRel/return/ModelAndView[]//system\/authGroup\/departRoleAuthGroupShow[],def://src/main/webapp/webpage/system/authGroup/departRoleAuthGroupShow.jsp[]
use://src/main/webapp/webpage/system/notice/tSNotice-update.jsp[]//html/body/t:formvalid/table/tbody/tr/td/span/input/value[]//${usersid}[],def://src/main/java/org/jeecgframework/web/system/controller/core/NoticeController.java[]//goUpdate/req.setAttribute[]//usersid[]
use://src/main/webapp/webpage/system/user/myOrgUser.jsp[]//html/body/t:formvalid/input/value[]//${orgIds}[],def://src/main/java/org/jeecgframework/web/system/controller/core/UserController.java[]//addorupdateMyOrgUser/req.setAttribute[]//orgIds[]
use://src/main/webapp/webpage/common/upload/pub_excel_upload.jsp[]//html/body/t:formvalid/fieldset/div/t:upload/uploader[]//${controller_name}[],def://src/main/java/org/jeecgframework/web/system/controller/core/DepartController.java[]//upload/req.setAttribute[]//controller_name[]
use://src/main/webapp/webpage/system/user/interfaceUser.jsp[]//html/body/t:formvalid/input/value[]//${roleId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/UserController.java[]//addorupdateInterfaceUser/req.setAttribute[]//roleId[]
def://src/main/java/org/jeecgframework/web/system/sms/controller/TSSmsController.java[]//tSSms/return/ModelAndView[]//system\/sms\/tSSmsList[],def://src/main/webapp/webpage/system/sms/tSSmsList.jsp[]
use://src/main/webapp/webpage/system/organzation/noCurDepartMyOrgUserList.jsp[]//html/body/div/div/t:datagrid/actionurl[]//${orgId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/OrganzationController.java[]//goAddMyOrgUserToOrg/req.setAttribute[]//orgId[]
def://src/main/java/org/jeecgframework/web/system/controller/core/TSInterfaceController.java[]//operation/return/ModelAndView[]//system\/operation\/operationList[],def://src/main/webapp/webpage/system/operation/operationList.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//vueNewList/return/ModelAndView[]//com\/jeecg\/demo\/vueNewList[],def://src/main/webapp/webpage/com/jeecg/demo/vueNewList.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/TSInterfaceController.java[]//function/return/ModelAndView[]//system\/tsinterface\/interfaceList[],def://src/main/webapp/webpage/system/tsinterface/interfaceList.jsp[]
use://src/main/webapp/webpage/system/notice/tSNotice-update.jsp[]//html/body/t:formvalid/table/tbody/tr/td/span/input/value[]//${rolesid}[],def://src/main/java/org/jeecgframework/web/system/controller/core/NoticeController.java[]//goUpdate/req.setAttribute[]//rolesid[]
def://src/main/java/com/jeecg/demo/controller/JfromOrderController.java[]//jfromOrderLineList/return/ModelAndView[]//com\/jeecg\/demo\/jfromOrderLineList[],def://src/main/webapp/webpage/com/jeecg/demo/jfromOrderLineList.jsp[]
use://src/main/webapp/webpage/system/role/roleUserList.jsp[]//html/body/t:datagrid/t:dgtoolbar/url[]//${roleId}[],def://src/main/java/org/jeecgframework/web/system/controller/core/RoleController.java[]//userList/request.setAttribute[]//roleId[]
def://src/main/java/org/jeecgframework/web/cgreport/controller/core/CgreportConfigHeadController.java[]//popmenulink/return/ModelAndView[]//jeecg\/cgreport\/core\/popmenulink[],def://src/main/webapp/webpage/jeecg/cgreport/core/popmenulink.jsp[]
def://src/main/java/com/jeecg/demo/controller/JformOrderMainController.java[]//jformOrderCustomerList/return/ModelAndView[]//com\/jeecg\/demo\/orderOne2Many\/jformOrderCustomerList[],def://src/main/webapp/webpage/com/jeecg/demo/orderOne2Many/jformOrderCustomerList.jsp[]
def://src/main/java/org/jeecgframework/web/cgform/controller/fillrule/TSFillRuleController.java[]//goUpdate/return/ModelAndView[]//jeecg\/cgform\/fillrule\/tSFillRule-update[],def://src/main/webapp/webpage/jeecg/cgform/fillrule/tSFillRule-update.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/NoticeController.java[]//goUpdate/return/ModelAndView[]//system\/notice\/tSNotice-update[],def://src/main/webapp/webpage/system/notice/tSNotice-update.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/SystemController.java[]//updateAuthority/return[]//system\/role\/roleList[],def://src/main/webapp/webpage/system/role/roleList.jsp[]
use://src/main/webapp/webpage/system/user/myOrgUser.jsp[]//html/body/t:formvalid/table/tbody/tr/td/input/value[]//${orgIds}[],def://src/main/java/org/jeecgframework/web/system/controller/core/UserController.java[]//addorupdateMyOrgUser/req.setAttribute[]//orgIds[]
use://src/main/webapp/webpage/jeecg/cgform/button/cgformButtonList.jsp[]//html/body/div/div/t:datagrid/t:dgtoolbar/url[]//${formId}[],def://src/main/java/org/jeecgframework/web/cgform/controller/button/CgformButtonController.java[]//cgformButton/request.setAttribute[]//formId[]
def://src/main/java/org/jeecgframework/web/system/controller/core/SystemController.java[]//commonUpload/return/ModelAndView[]//common\/upload\/uploadView[],def://src/main/webapp/webpage/common/upload/uploadView.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/InterroleController.java[]//fun/return/ModelAndView[]//system\/interrole\/interroleSet[],def://src/main/webapp/webpage/system/interrole/interroleSet.jsp[]
def://src/main/java/com/jeecg/demo/controller/MultiUploadController.java[]//goAdd/return/ModelAndView[]//com\/jeecg\/demo\/multiUpload-add[],def://src/main/webapp/webpage/com/jeecg/demo/multiUpload-add.jsp[]
def://src/main/java/com/jeecg/demo/controller/JeecgListDemoController.java[]//echartDemo/return/ModelAndView[]//com\/jeecg\/demo\/echartsDemo[],def://src/main/webapp/webpage/com/jeecg/demo/echartsDemo.jsp[]
def://src/main/java/org/jeecgframework/web/system/controller/core/TSDictTableConfigController.java[]//upload/return/ModelAndView[]//common\/upload\/pub_excel_upload[],def://src/main/webapp/webpage/common/upload/pub_excel_upload.jsp[]
def://src/main/java/org/jeecgframework/web/system/sms/controller/TSSmsTemplateSqlController.java[]//tSSmsTemplateSql/return/ModelAndView[]//system\/sms\/tSSmsTemplateSqlList[],def://src/main/webapp/webpage/system/sms/tSSmsTemplateSqlList.jsp[]
